GameID,BoardSize,PlayerX,PlayerX_Runtime,PlayerO,PlayerO_RuntimeWinner,NumTurns,TotalRunTimeSec
84,4x4,MinimaxAI,0.175804,AlphaBetaAI, 0.114381,Draw,16,0.290185
85,4x4,MinimaxAI,0.188154,ExpectiminimaxAI, 1.231504,Draw,16,1.419658
86,4x4,AlphaBetaAI,0.161802,MinimaxAI, 0.143869,Draw,16,0.305670
87,4x4,ExpectiminimaxAI,2.486361,MinimaxAI, 0.138754,Draw,16,2.625115
88,4x4,MinimaxAI,0.155286,MinimaxAI, 0.161697,Draw,16,0.317990
89,4x4,AlphaBetaAI,0.160698,AlphaBetaAI, 0.110004,Draw,16,0.270703
90,4x4,ExpectiminimaxAI,1.872576,ExpectiminimaxAI, 1.235714,Draw,16,3.108290
91,4x4,GeminiAI,6.771132,MinimaxAI, 0.180173,O,12,6.951305
92,4x4,GeminiAI,16.414710,AlphaBetaAI, 0.150357,O,14,16.566064
93,4x4,GeminiAI,9.811678,ExpectiminimaxAI, 1.231447,Draw,16,11.043126
94,4x4,MinimaxAI,0.184130,AlphaBetaAI, 0.118641,Draw,16,0.302770
95,4x4,MinimaxAI,0.206563,ExpectiminimaxAI, 1.224253,Draw,16,1.430816
96,4x4,AlphaBetaAI,0.161200,MinimaxAI, 0.154114,Draw,16,0.315314
97,4x4,ExpectiminimaxAI,2.579773,MinimaxAI, 0.137345,Draw,16,2.717119
98,4x4,MinimaxAI,0.199308,MinimaxAI, 0.151411,Draw,16,0.350719
99,4x4,AlphaBetaAI,0.171914,AlphaBetaAI, 0.122531,Draw,16,0.294445
100,4x4,ExpectiminimaxAI,2.214959,ExpectiminimaxAI, 1.356700,Draw,16,3.571659
101,5x5,GeminiAI,38.619914,MinimaxAI, 1.090462,X,19,39.711376
102,5x5,GeminiAI,27.238113,AlphaBetaAI, 0.898860,Draw,25,28.139074
103,5x5,GeminiAI,14.213975,ExpectiminimaxAI, 13.372131,X,15,27.586106
104,5x5,MinimaxAI,1.572735,AlphaBetaAI, 1.009528,Draw,25,2.582263
105,5x5,MinimaxAI,1.415789,ExpectiminimaxAI, 14.342416,Draw,25,15.758206
106,5x5,AlphaBetaAI,1.141547,MinimaxAI, 1.183244,Draw,25,2.324792
107,5x5,ExpectiminimaxAI,39.459799,MinimaxAI, 1.181248,Draw,25,40.641047
108,5x5,MinimaxAI,1.356581,MinimaxAI, 1.133052,Draw,25,2.490650
109,5x5,AlphaBetaAI,1.049530,AlphaBetaAI, 0.916465,Draw,25,1.965995
110,5x5,ExpectiminimaxAI,19.257330,ExpectiminimaxAI, 13.236351,Draw,25,32.493682
111,5x5,GeminiAI,30.579448,MinimaxAI, 1.106180,O,16,31.685628
112,5x5,GeminiAI,38.117238,AlphaBetaAI, 0.923602,Draw,25,39.040840
113,5x5,GeminiAI,20.935122,ExpectiminimaxAI, 11.613961,X,17,32.549083
114,5x5,MinimaxAI,1.265055,AlphaBetaAI, 0.856008,Draw,25,2.121063
115,5x5,MinimaxAI,1.367907,ExpectiminimaxAI, 12.605142,Draw,25,13.973049
116,5x5,AlphaBetaAI,1.352206,MinimaxAI, 1.215271,Draw,25,2.567478
117,5x5,ExpectiminimaxAI,39.503975,MinimaxAI, 1.088222,Draw,25,40.592197
118,5x5,MinimaxAI,1.361931,MinimaxAI, 1.140782,Draw,25,2.502713
119,5x5,AlphaBetaAI,1.119031,AlphaBetaAI, 0.992604,Draw,25,2.111635
120,5x5,ExpectiminimaxAI,19.191193,ExpectiminimaxAI, 13.473514,Draw,25,32.664707121,5x5,GeminiAI,20.695022,MinimaxAI, 1.132142,O,16,21.828163
122,5x5,GeminiAI,34.450185,AlphaBetaAI, 0.988064,Draw,25,35.439339
123,5x5,GeminiAI,17.825735,ExpectiminimaxAI, 15.146444,X,17,32.973179
124,5x5,MinimaxAI,1.418925,AlphaBetaAI, 0.929892,Draw,25,2.348817
125,5x5,MinimaxAI,1.836328,ExpectiminimaxAI, 17.794168,Draw,25,19.630497
126,5x5,AlphaBetaAI,1.499675,MinimaxAI, 1.513616,Draw,25,3.013291
127,5x5,ExpectiminimaxAI,40.129312,MinimaxAI, 1.196514,Draw,25,41.325826
128,5x5,MinimaxAI,1.386274,MinimaxAI, 1.202619,Draw,25,2.588893
129,5x5,AlphaBetaAI,1.166787,AlphaBetaAI, 0.976372,Draw,25,2.143160
130,5x5,ExpectiminimaxAI,19.903749,ExpectiminimaxAI, 13.719596,Draw,25,33.623345
131,5x5,GeminiAI,39.796486,MinimaxAI, 1.183623,Draw,25,40.982109
132,5x5,GeminiAI,45.718811,AlphaBetaAI, 0.905255,Draw,25,46.625062
133,5x5,GeminiAI,7.388643,ExpectiminimaxAI, 6.052061,O,10,13.440704
134,5x5,MinimaxAI,1.334548,AlphaBetaAI, 0.885560,Draw,25,2.220108
135,5x5,MinimaxAI,1.298461,ExpectiminimaxAI, 12.799152,Draw,25,14.097613
136,5x5,AlphaBetaAI,1.077184,MinimaxAI, 1.122678,Draw,25,2.199862
137,5x5,ExpectiminimaxAI,41.192975,MinimaxAI, 1.139536,Draw,25,42.332511
138,5x5,MinimaxAI,1.459845,MinimaxAI, 1.169258,Draw,25,2.629103
139,5x5,AlphaBetaAI,1.048130,AlphaBetaAI, 0.885298,Draw,25,1.933428
140,5x5,ExpectiminimaxAI,19.882189,ExpectiminimaxAI, 13.996457,Draw,25,33.878646
141,5x5,GeminiAI,36.308273,MinimaxAI, 1.239531,Draw,25,37.547804
142,5x5,GeminiAI,36.854097,AlphaBetaAI, 0.937356,Draw,25,37.791453
143,5x5,GeminiAI,31.810246,ExpectiminimaxAI, 12.363691,O,22,44.173937
144,5x5,MinimaxAI,1.253553,AlphaBetaAI, 0.868663,Draw,25,2.122216
145,5x5,MinimaxAI,1.360221,ExpectiminimaxAI, 13.109566,Draw,25,14.469787
146,5x5,AlphaBetaAI,1.056045,MinimaxAI, 1.120283,Draw,25,2.176328
147,5x5,ExpectiminimaxAI,39.889796,MinimaxAI, 1.158451,Draw,25,41.049247
148,5x5,MinimaxAI,1.340648,MinimaxAI, 1.137215,Draw,25,2.477863
149,5x5,AlphaBetaAI,1.134111,AlphaBetaAI, 0.976384,Draw,25,2.110495
150,5x5,ExpectiminimaxAI,20.014041,ExpectiminimaxAI, 13.635506,Draw,25,33.649547
151,6x6,GeminiAI,68.565933,MinimaxAI, 6.048695,Draw,36,74.615533
152,6x6,GeminiAI,60.485667,AlphaBetaAI, 4.714633,Draw,36,65.200299
153,6x6,GeminiAI,61.778191,ExpectiminimaxAI, 91.575581,Draw,36,153.354680
154,6x6,MinimaxAI,6.808094,AlphaBetaAI, 4.955142,Draw,36,11.763236
155,6x6,MinimaxAI,7.464081,ExpectiminimaxAI, 96.160394,Draw,36,103.624474
156,6x6,AlphaBetaAI,5.732438,MinimaxAI, 6.369950,Draw,36,12.103383
157,6x6,ExpectiminimaxAI,480.144657,MinimaxAI, 6.533507,Draw,36,486.678164
158,6x6,MinimaxAI,7.161121,MinimaxAI, 6.389187,Draw,36,13.550308
159,6x6,AlphaBetaAI,5.977414,AlphaBetaAI, 5.064118,Draw,36,11.041531
160,6x6,ExpectiminimaxAI,154.533286,ExpectiminimaxAI, 105.623572,Draw,36,260.156857
161,6x6,GeminiAI,49.069362,MinimaxAI, 6.324104,Draw,36,55.393466
162,6x6,GeminiAI,40.932172,AlphaBetaAI, 5.101561,Draw,36,46.033732
163,6x6,GeminiAI,44.405777,ExpectiminimaxAI, 97.090218,Draw,36,141.495995
164,6x6,MinimaxAI,6.778348,AlphaBetaAI, 4.978540,Draw,36,11.756888
165,6x6,MinimaxAI,6.935350,ExpectiminimaxAI, 97.019078,Draw,36,103.956421
166,6x6,AlphaBetaAI,5.676316,MinimaxAI, 6.477262,Draw,36,12.153578
167,6x6,ExpectiminimaxAI,480.666272,MinimaxAI, 6.493923,Draw,36,487.161200
168,6x6,MinimaxAI,7.134358,MinimaxAI, 6.343585,Draw,36,13.477944
169,6x6,AlphaBetaAI,5.857752,AlphaBetaAI, 5.433774,Draw,36,11.291526
170,6x6,ExpectiminimaxAI,156.798281,ExpectiminimaxAI, 106.084580,Draw,36,262.883851
171,6x6,GeminiAI,59.012991,MinimaxAI, 6.176106,O,34,65.192109
172,6x6,GeminiAI,52.830634,AlphaBetaAI, 4.767609,Draw,36,57.600374
173,6x6,GeminiAI,37.036228,ExpectiminimaxAI, 94.587257,Draw,36,131.624486
174,6x6,MinimaxAI,6.931104,AlphaBetaAI, 4.868576,Draw,36,11.799680
175,6x6,MinimaxAI,7.061998,ExpectiminimaxAI, 97.218989,Draw,36,104.280987
176,6x6,AlphaBetaAI,6.020986,MinimaxAI, 6.457855,Draw,36,12.480932
177,6x6,ExpectiminimaxAI,493.007040,MinimaxAI, 6.652720,Draw,36,499.660782
178,6x6,MinimaxAI,7.099577,MinimaxAI, 6.768899,Draw,36,13.868476
179,6x6,AlphaBetaAI,5.865117,AlphaBetaAI, 5.328828,Draw,36,11.195946
180,6x6,ExpectiminimaxAI,165.075550,ExpectiminimaxAI, 109.477918,Draw,36,274.553468
181,6x6,GeminiAI,57.534250,MinimaxAI, 6.343446,Draw,36,63.878698
182,6x6,GeminiAI,62.124079,AlphaBetaAI, 4.979046,Draw,36,67.103125
183,6x6,GeminiAI,30.426975,ExpectiminimaxAI, 96.967239,Draw,36,127.396634
184,6x6,MinimaxAI,6.899085,AlphaBetaAI, 4.954440,Draw,36,11.853525
185,6x6,MinimaxAI,7.266714,ExpectiminimaxAI, 96.810738,Draw,36,104.077452
186,6x6,AlphaBetaAI,5.930434,MinimaxAI, 6.699419,Draw,36,12.629854
187,6x6,ExpectiminimaxAI,483.329913,MinimaxAI, 6.559302,Draw,36,489.889216
188,6x6,MinimaxAI,7.327983,MinimaxAI, 6.505949,Draw,36,13.833932
189,6x6,AlphaBetaAI,5.845384,AlphaBetaAI, 5.565243,Draw,36,11.411612
190,6x6,ExpectiminimaxAI,158.273359,ExpectiminimaxAI, 106.897893,Draw,36,265.171252
191,6x6,GeminiAI,72.772472,MinimaxAI, 6.546210,Draw,36,79.319684
192,6x6,GeminiAI,53.440838,AlphaBetaAI, 5.107102,Draw,36,58.548939
193,6x6,GeminiAI,17.115460,ExpectiminimaxAI, 92.090404,O,20,109.206872
194,6x6,MinimaxAI,8.712104,AlphaBetaAI, 6.401674,Draw,36,15.114780
195,6x6,MinimaxAI,8.035593,ExpectiminimaxAI, 92.081069,Draw,36,100.116663
196,6x6,AlphaBetaAI,4.960920,MinimaxAI, 5.576310,Draw,36,10.537230
197,6x6,ExpectiminimaxAI,438.565399,MinimaxAI, 5.797999,Draw,36,444.364362
198,6x6,MinimaxAI,7.114908,MinimaxAI, 6.165429,Draw,36,13.280337
199,6x6,AlphaBetaAI,5.805489,AlphaBetaAI, 5.072432,Draw,36,10.878919
200,6x6,ExpectiminimaxAI,168.865785,ExpectiminimaxAI, 113.099571,Draw,36,281.965356
